<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230921;110400;94595.0000000;94617.0000000;94595.0000000;94617.0000000;729
20230921;110500;94618.0000000;94646.0000000;94618.0000000;94637.0000000;715
20230921;110600;94636.0000000;94639.0000000;94609.0000000;94617.0000000;965
20230921;110700;94609.0000000;94614.0000000;94529.0000000;94576.0000000;2549
20230921;110800;94581.0000000;94599.0000000;94558.0000000;94599.0000000;1425
20230921;110900;94599.0000000;94615.0000000;94583.0000000;94610.0000000;1042
20230921;111000;94611.0000000;94622.0000000;94587.0000000;94603.0000000;959
20230921;111100;94603.0000000;94647.0000000;94603.0000000;94636.0000000;1754
20230921;111200;94631.0000000;94649.0000000;94628.0000000;94637.0000000;1636
20230921;111300;94635.0000000;94659.0000000;94633.0000000;94647.0000000;2998
20230921;111400;94645.0000000;94683.0000000;94642.0000000;94667.0000000;2139
20230921;111500;94668.0000000;94676.0000000;94627.0000000;94639.0000000;3892
20230921;111600;94634.0000000;94652.0000000;94614.0000000;94619.0000000;3778
20230921;111700;94619.0000000;94629.0000000;94609.0000000;94627.0000000;2096
20230921;111800;94627.0000000;94646.0000000;94611.0000000;94620.0000000;3506
20230921;111900;94617.0000000;94626.0000000;94594.0000000;94615.0000000;4051
20230921;112000;94615.0000000;94650.0000000;94615.0000000;94618.0000000;4532
20230921;112100;94622.0000000;94661.0000000;94601.0000000;94659.0000000;3245
20230921;112200;94659.0000000;94683.0000000;94584.0000000;94600.0000000;4512
20230921;112300;94600.0000000;94600.0000000;94589.0000000;94600.0000000;2222
20230921;112400;94600.0000000;94600.0000000;94594.0000000;94600.0000000;8042
20230921;112500;94600.0000000;94619.0000000;94599.0000000;94605.0000000;2477
20230921;112600;94605.0000000;94644.0000000;94600.0000000;94644.0000000;1032
20230921;112700;94643.0000000;94670.0000000;94631.0000000;94645.0000000;2095
20230921;112800;94640.0000000;94667.0000000;94615.0000000;94639.0000000;2441
20230921;112900;94641.0000000;94649.0000000;94627.0000000;94642.0000000;2050
20230921;113000;94643.0000000;94648.0000000;94629.0000000;94633.0000000;2473
20230921;113100;94633.0000000;94657.0000000;94624.0000000;94651.0000000;2739
20230921;113200;94646.0000000;94657.0000000;94635.0000000;94639.0000000;2830
20230921;113300;94639.0000000;94652.0000000;94636.0000000;94646.0000000;2781
20230921;113400;94640.0000000;94653.0000000;94631.0000000;94644.0000000;3828
20230921;113500;94643.0000000;94665.0000000;94593.0000000;94653.0000000;7025
20230921;113600;94656.0000000;94695.0000000;94637.0000000;94685.0000000;3531
20230921;113700;94686.0000000;94701.0000000;94673.0000000;94677.0000000;3236
20230921;113800;94676.0000000;94717.0000000;94664.0000000;94700.0000000;2759
20230921;113900;94700.0000000;94748.0000000;94695.0000000;94733.0000000;2858
20230921;114000;94733.0000000;94739.0000000;94719.0000000;94725.0000000;1232
20230921;114100;94722.0000000;94748.0000000;94701.0000000;94744.0000000;2276
20230921;114200;94742.0000000;94775.0000000;94737.0000000;94748.0000000;4082
20230921;114300;94747.0000000;94790.0000000;94746.0000000;94781.0000000;1941
20230921;114400;94782.0000000;94789.0000000;94778.0000000;94781.0000000;1954
20230921;114500;94781.0000000;94793.0000000;94735.0000000;94749.0000000;2565
20230921;114600;94749.0000000;94772.0000000;94748.0000000;94766.0000000;2676
20230921;114700;94767.0000000;94807.0000000;94766.0000000;94806.0000000;2667
20230921;114800;94806.0000000;94861.0000000;94805.0000000;94854.0000000;3429
20230921;114900;94858.0000000;94896.0000000;94840.0000000;94854.0000000;3950
20230921;115000;94854.0000000;94881.0000000;94832.0000000;94843.0000000;2296
20230921;115100;94843.0000000;94899.0000000;94841.0000000;94892.0000000;2371
20230921;115200;94892.0000000;94904.0000000;94890.0000000;94898.0000000;2024
20230921;115300;94899.0000000;94900.0000000;94843.0000000;94860.0000000;2041
20230921;115400;94859.0000000;94899.0000000;94855.0000000;94894.0000000;1300
20230921;115500;94894.0000000;94960.0000000;94891.0000000;94950.0000000;4192
20230921;115600;94950.0000000;94999.0000000;94949.0000000;94966.0000000;5646
20230921;115700;94966.0000000;94998.0000000;94950.0000000;94994.0000000;2049
20230921;115800;94994.0000000;94995.0000000;94971.0000000;94971.0000000;2005
20230921;115900;94970.0000000;94972.0000000;94932.0000000;94942.0000000;1101
20230921;120000;94945.0000000;94994.0000000;94942.0000000;94965.0000000;4856
20230921;120100;94964.0000000;95019.0000000;94964.0000000;95000.0000000;7124
20230921;120200;94999.0000000;95076.0000000;94998.0000000;95067.0000000;5116
20230921;120300;95067.0000000;95075.0000000;95034.0000000;95060.0000000;3673
20230921;120400;95061.0000000;95108.0000000;95061.0000000;95098.0000000;4360
20230921;120500;95098.0000000;95145.0000000;95091.0000000;95095.0000000;3790
20230921;120600;95100.0000000;95113.0000000;95088.0000000;95089.0000000;1682
20230921;120700;95088.0000000;95089.0000000;95063.0000000;95082.0000000;1814
20230921;120800;95082.0000000;95101.0000000;95066.0000000;95066.0000000;2560
20230921;120900;95067.0000000;95090.0000000;95048.0000000;95053.0000000;1421
20230921;121000;95049.0000000;95069.0000000;95048.0000000;95067.0000000;1295
