<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220616;114000;62528.0000000;62544.0000000;62411.0000000;62444.0000000;8934
20220616;114100;62444.0000000;62484.0000000;62422.0000000;62440.0000000;5100
20220616;114200;62440.0000000;62448.0000000;62408.0000000;62448.0000000;3015
20220616;114300;62448.0000000;62497.0000000;62441.0000000;62488.0000000;2612
20220616;114400;62487.0000000;62488.0000000;62382.0000000;62384.0000000;4156
20220616;114500;62384.0000000;62469.0000000;62382.0000000;62443.0000000;3433
20220616;114600;62443.0000000;62551.0000000;62441.0000000;62551.0000000;5537
20220616;114700;62551.0000000;62630.0000000;62514.0000000;62515.0000000;6537
20220616;114800;62515.0000000;62530.0000000;62415.0000000;62415.0000000;3850
20220616;114900;62415.0000000;62436.0000000;62271.0000000;62297.0000000;12930
20220616;115000;62289.0000000;62355.0000000;62288.0000000;62335.0000000;3961
20220616;115100;62335.0000000;62367.0000000;62245.0000000;62262.0000000;6682
20220616;115200;62261.0000000;62349.0000000;62252.0000000;62324.0000000;5181
20220616;115300;62322.0000000;62372.0000000;62316.0000000;62370.0000000;2361
20220616;115400;62370.0000000;62434.0000000;62360.0000000;62420.0000000;2977
20220616;115500;62421.0000000;62423.0000000;62358.0000000;62375.0000000;2152
20220616;115600;62376.0000000;62449.0000000;62376.0000000;62420.0000000;1930
20220616;115700;62420.0000000;62444.0000000;62420.0000000;62434.0000000;1052
20220616;115800;62435.0000000;62439.0000000;62323.0000000;62368.0000000;3202
20220616;115900;62367.0000000;62460.0000000;62365.0000000;62459.0000000;2066
20220616;120000;62460.0000000;62489.0000000;62411.0000000;62415.0000000;6202
20220616;120100;62416.0000000;62532.0000000;62400.0000000;62437.0000000;6620
20220616;120200;62441.0000000;62441.0000000;62365.0000000;62389.0000000;3640
20220616;120300;62389.0000000;62400.0000000;62297.0000000;62297.0000000;4714
20220616;120400;62298.0000000;62464.0000000;62290.0000000;62379.0000000;4246
20220616;120500;62378.0000000;62446.0000000;62345.0000000;62368.0000000;3717
20220616;120600;62367.0000000;62400.0000000;62308.0000000;62319.0000000;2501
20220616;120700;62318.0000000;62342.0000000;62265.0000000;62276.0000000;3613
20220616;120800;62282.0000000;62340.0000000;62263.0000000;62319.0000000;2575
20220616;120900;62320.0000000;62350.0000000;62318.0000000;62350.0000000;7070
20220616;121000;62350.0000000;62422.0000000;62263.0000000;62271.0000000;6791
20220616;121100;62272.0000000;62371.0000000;62205.0000000;62370.0000000;5905
20220616;121200;62370.0000000;62413.0000000;62350.0000000;62357.0000000;3890
20220616;121300;62360.0000000;62374.0000000;62279.0000000;62373.0000000;4206
20220616;121400;62365.0000000;62378.0000000;62322.0000000;62367.0000000;1828
20220616;121500;62367.0000000;62435.0000000;62359.0000000;62422.0000000;2769
20220616;121600;62423.0000000;62488.0000000;62420.0000000;62449.0000000;3928
20220616;121700;62449.0000000;62455.0000000;62416.0000000;62430.0000000;1446
20220616;121800;62430.0000000;62460.0000000;62343.0000000;62371.0000000;3617
20220616;121900;62372.0000000;62376.0000000;62223.0000000;62256.0000000;6183
20220616;122000;62255.0000000;62294.0000000;62241.0000000;62241.0000000;3299
20220616;122100;62241.0000000;62255.0000000;62158.0000000;62163.0000000;6180
20220616;122200;62163.0000000;62200.0000000;62124.0000000;62139.0000000;4542
20220616;122300;62134.0000000;62150.0000000;62072.0000000;62083.0000000;5790
20220616;122400;62086.0000000;62144.0000000;62072.0000000;62100.0000000;5474
20220616;122500;62100.0000000;62120.0000000;62062.0000000;62115.0000000;7750
20220616;122600;62114.0000000;62213.0000000;62110.0000000;62162.0000000;6331
20220616;122700;62164.0000000;62300.0000000;62162.0000000;62300.0000000;4787
20220616;122800;62292.0000000;62488.0000000;62267.0000000;62486.0000000;11625
20220616;122900;62482.0000000;62680.0000000;62471.0000000;62555.0000000;16372
20220616;123000;62552.0000000;62614.0000000;62403.0000000;62434.0000000;9607
20220616;123100;62434.0000000;62550.0000000;62433.0000000;62538.0000000;4581
20220616;123200;62538.0000000;62620.0000000;62535.0000000;62547.0000000;4849
20220616;123300;62558.0000000;62580.0000000;62516.0000000;62530.0000000;2556
20220616;123400;62524.0000000;62530.0000000;62467.0000000;62471.0000000;2490
20220616;123500;62470.0000000;62496.0000000;62431.0000000;62449.0000000;2954
20220616;123600;62447.0000000;62450.0000000;62375.0000000;62375.0000000;6580
20220616;123700;62376.0000000;62400.0000000;62370.0000000;62385.0000000;3025
20220616;123800;62378.0000000;62436.0000000;62371.0000000;62371.0000000;3594
20220616;123900;62371.0000000;62397.0000000;62351.0000000;62357.0000000;3065
20220616;124000;62355.0000000;62420.0000000;62282.0000000;62314.0000000;6872
20220616;124100;62306.0000000;62350.0000000;62268.0000000;62350.0000000;3178
20220616;124200;62344.0000000;62400.0000000;62336.0000000;62374.0000000;2174
20220616;124300;62383.0000000;62425.0000000;62341.0000000;62417.0000000;4050
20220616;124400;62415.0000000;62450.0000000;62394.0000000;62439.0000000;2437
20220616;124500;62439.0000000;62447.0000000;62360.0000000;62377.0000000;2761
20220616;124600;62377.0000000;62478.0000000;62370.0000000;62454.0000000;3319
20220616;124700;62447.0000000;62454.0000000;62350.0000000;62379.0000000;2508
20220616;124800;62376.0000000;62494.0000000;62372.0000000;62492.0000000;4795
20220616;124900;62484.0000000;62545.0000000;62460.0000000;62470.0000000;4959
20220616;125000;62473.0000000;62520.0000000;62453.0000000;62507.0000000;2637
20220616;125100;62507.0000000;62590.0000000;62506.0000000;62548.0000000;4842
20220616;125200;62539.0000000;62664.0000000;62538.0000000;62646.0000000;5173
20220616;125300;62649.0000000;62750.0000000;62649.0000000;62691.0000000;8109
20220616;125400;62691.0000000;62705.0000000;62651.0000000;62679.0000000;3774
20220616;125500;62677.0000000;62737.0000000;62636.0000000;62729.0000000;6427
20220616;125600;62729.0000000;62835.0000000;62722.0000000;62834.0000000;12463
20220616;125700;62835.0000000;62930.0000000;62823.0000000;62852.0000000;16553
20220616;125800;62859.0000000;62921.0000000;62820.0000000;62831.0000000;7305
20220616;125900;62825.0000000;62838.0000000;62800.0000000;62829.0000000;4166
20220616;130000;62835.0000000;62852.0000000;62755.0000000;62775.0000000;6095
20220616;130100;62766.0000000;62813.0000000;62748.0000000;62795.0000000;3977
20220616;130200;62793.0000000;62850.0000000;62777.0000000;62799.0000000;5471
20220616;130300;62800.0000000;62800.0000000;62731.0000000;62770.0000000;7868
20220616;130400;62764.0000000;62784.0000000;62691.0000000;62700.0000000;6991
20220616;130500;62700.0000000;62718.0000000;62662.0000000;62664.0000000;6169
20220616;130600;62670.0000000;62718.0000000;62621.0000000;62628.0000000;7855
20220616;130700;62637.0000000;62665.0000000;62560.0000000;62586.0000000;6254
20220616;130800;62586.0000000;62609.0000000;62549.0000000;62570.0000000;4943
20220616;130900;62570.0000000;62625.0000000;62570.0000000;62593.0000000;5872
20220616;131000;62593.0000000;62676.0000000;62592.0000000;62612.0000000;5808
20220616;131100;62619.0000000;62641.0000000;62600.0000000;62608.0000000;1798
20220616;131200;62608.0000000;62625.0000000;62560.0000000;62597.0000000;2786
20220616;131300;62594.0000000;62631.0000000;62582.0000000;62619.0000000;1521
