<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20221215;113600;65157.0000000;65189.0000000;65151.0000000;65179.0000000;1021
20221215;113700;65179.0000000;65182.0000000;65148.0000000;65153.0000000;1387
20221215;113800;65152.0000000;65191.0000000;65152.0000000;65170.0000000;1457
20221215;113900;65173.0000000;65187.0000000;65173.0000000;65176.0000000;1252
20221215;114000;65177.0000000;65192.0000000;65170.0000000;65172.0000000;2154
20221215;114100;65173.0000000;65185.0000000;65170.0000000;65183.0000000;1155
20221215;114200;65181.0000000;65192.0000000;65165.0000000;65165.0000000;1611
20221215;114300;65165.0000000;65185.0000000;65165.0000000;65175.0000000;2042
20221215;114400;65175.0000000;65176.0000000;65162.0000000;65162.0000000;1662
20221215;114500;65163.0000000;65168.0000000;65137.0000000;65142.0000000;2425
20221215;114600;65142.0000000;65150.0000000;65136.0000000;65148.0000000;1522
20221215;114700;65150.0000000;65150.0000000;65140.0000000;65150.0000000;4312
20221215;114800;65150.0000000;65174.0000000;65150.0000000;65158.0000000;1932
20221215;114900;65159.0000000;65170.0000000;65158.0000000;65158.0000000;1639
20221215;115000;65159.0000000;65190.0000000;65159.0000000;65187.0000000;1531
20221215;115100;65183.0000000;65183.0000000;65159.0000000;65176.0000000;894
20221215;115200;65176.0000000;65186.0000000;65139.0000000;65145.0000000;1677
20221215;115300;65146.0000000;65153.0000000;65127.0000000;65134.0000000;1480
20221215;115400;65132.0000000;65136.0000000;65115.0000000;65122.0000000;2154
20221215;115500;65126.0000000;65131.0000000;65105.0000000;65119.0000000;1340
20221215;115600;65120.0000000;65130.0000000;65118.0000000;65128.0000000;595
20221215;115700;65126.0000000;65143.0000000;65125.0000000;65131.0000000;1019
20221215;115800;65131.0000000;65140.0000000;65130.0000000;65135.0000000;1625
20221215;115900;65137.0000000;65145.0000000;65133.0000000;65133.0000000;517
20221215;120000;65134.0000000;65142.0000000;65128.0000000;65134.0000000;853
20221215;120100;65136.0000000;65142.0000000;65121.0000000;65133.0000000;980
20221215;120200;65134.0000000;65138.0000000;65127.0000000;65130.0000000;938
20221215;120300;65128.0000000;65142.0000000;65127.0000000;65140.0000000;1153
20221215;120400;65141.0000000;65143.0000000;65138.0000000;65142.0000000;1452
20221215;120500;65143.0000000;65144.0000000;65126.0000000;65128.0000000;996
20221215;120600;65134.0000000;65140.0000000;65127.0000000;65131.0000000;1342
20221215;120700;65131.0000000;65131.0000000;65120.0000000;65121.0000000;643
20221215;120800;65122.0000000;65123.0000000;65110.0000000;65119.0000000;1318
20221215;120900;65119.0000000;65144.0000000;65119.0000000;65143.0000000;469
20221215;121000;65142.0000000;65145.0000000;65137.0000000;65138.0000000;622
20221215;121100;65138.0000000;65139.0000000;65113.0000000;65120.0000000;1464
20221215;121200;65121.0000000;65124.0000000;65116.0000000;65116.0000000;1337
20221215;121300;65116.0000000;65125.0000000;65116.0000000;65123.0000000;833
20221215;121400;65120.0000000;65123.0000000;65110.0000000;65110.0000000;1443
20221215;121500;65112.0000000;65112.0000000;65090.0000000;65097.0000000;1754
20221215;121600;65097.0000000;65108.0000000;65083.0000000;65096.0000000;3543
20221215;121700;65094.0000000;65104.0000000;65080.0000000;65081.0000000;2652
20221215;121800;65084.0000000;65085.0000000;65053.0000000;65053.0000000;2416
20221215;121900;65054.0000000;65062.0000000;64977.0000000;64977.0000000;4139
20221215;122000;64978.0000000;64979.0000000;64920.0000000;64975.0000000;3332
20221215;122100;64975.0000000;64980.0000000;64961.0000000;64970.0000000;1017
20221215;122200;64970.0000000;64975.0000000;64966.0000000;64966.0000000;1416
20221215;122300;64966.0000000;64969.0000000;64920.0000000;64923.0000000;2324
20221215;122400;64923.0000000;64924.0000000;64905.0000000;64915.0000000;2212
20221215;122500;64913.0000000;64924.0000000;64784.0000000;64793.0000000;12217
20221215;122600;64793.0000000;64797.0000000;64754.0000000;64797.0000000;8485
20221215;122700;64796.0000000;64801.0000000;64750.0000000;64786.0000000;6288
20221215;122800;64785.0000000;64793.0000000;64726.0000000;64757.0000000;8300
20221215;122900;64757.0000000;64850.0000000;64744.0000000;64844.0000000;3749
20221215;123000;64845.0000000;64899.0000000;64826.0000000;64886.0000000;5835
20221215;123100;64891.0000000;64905.0000000;64878.0000000;64890.0000000;3534
20221215;123200;64891.0000000;64893.0000000;64834.0000000;64857.0000000;7986
20221215;123300;64857.0000000;64890.0000000;64848.0000000;64887.0000000;2216
20221215;123400;64887.0000000;64905.0000000;64876.0000000;64892.0000000;1824
20221215;123500;64891.0000000;64915.0000000;64886.0000000;64913.0000000;1623
20221215;123600;64913.0000000;64926.0000000;64885.0000000;64912.0000000;3287
20221215;123700;64912.0000000;64933.0000000;64905.0000000;64919.0000000;2947
20221215;123800;64918.0000000;64933.0000000;64905.0000000;64928.0000000;1720
20221215;123900;64927.0000000;64930.0000000;64905.0000000;64916.0000000;2188
20221215;124000;64918.0000000;64924.0000000;64873.0000000;64875.0000000;1735
20221215;124100;64874.0000000;64915.0000000;64872.0000000;64907.0000000;752
20221215;124200;64909.0000000;64956.0000000;64906.0000000;64951.0000000;2903
20221215;124300;64951.0000000;64974.0000000;64946.0000000;64968.0000000;2051
20221215;124400;64971.0000000;64978.0000000;64967.0000000;64978.0000000;1353
20221215;124500;64978.0000000;65010.0000000;64976.0000000;64991.0000000;5797
20221215;124600;64991.0000000;65003.0000000;64941.0000000;64945.0000000;1663
20221215;124700;64946.0000000;64946.0000000;64901.0000000;64904.0000000;3489
20221215;124800;64902.0000000;64905.0000000;64884.0000000;64903.0000000;1829
20221215;124900;64900.0000000;64924.0000000;64892.0000000;64912.0000000;2381
20221215;125000;64910.0000000;64934.0000000;64910.0000000;64934.0000000;1109
20221215;125100;64933.0000000;64949.0000000;64879.0000000;64903.0000000;2278
20221215;125200;64902.0000000;64935.0000000;64894.0000000;64920.0000000;1301
20221215;125300;64916.0000000;64967.0000000;64908.0000000;64955.0000000;3109
20221215;125400;64954.0000000;64969.0000000;64950.0000000;64969.0000000;2081
20221215;125500;64969.0000000;64971.0000000;64958.0000000;64962.0000000;469
20221215;125600;64962.0000000;64964.0000000;64952.0000000;64957.0000000;791
20221215;125700;64955.0000000;64958.0000000;64929.0000000;64930.0000000;4211
20221215;125800;64930.0000000;64937.0000000;64922.0000000;64922.0000000;473
20221215;125900;64922.0000000;64948.0000000;64918.0000000;64945.0000000;1161
20221215;130000;64943.0000000;64948.0000000;64910.0000000;64914.0000000;967
20221215;130100;64915.0000000;64938.0000000;64910.0000000;64934.0000000;521
20221215;130200;64934.0000000;64945.0000000;64915.0000000;64932.0000000;1543
20221215;130300;64931.0000000;64945.0000000;64931.0000000;64942.0000000;547
20221215;130400;64943.0000000;64967.0000000;64941.0000000;64950.0000000;1802
20221215;130500;64950.0000000;64953.0000000;64946.0000000;64947.0000000;373
20221215;130600;64948.0000000;64974.0000000;64948.0000000;64973.0000000;1806
20221215;130700;64973.0000000;64978.0000000;64960.0000000;64960.0000000;2970
20221215;130800;64960.0000000;64965.0000000;64927.0000000;64942.0000000;4057
20221215;130900;64943.0000000;64950.0000000;64929.0000000;64930.0000000;3253
20221215;131000;64931.0000000;64950.0000000;64920.0000000;64923.0000000;2845
20221215;131100;64922.0000000;64925.0000000;64902.0000000;64904.0000000;3784
20221215;131200;64904.0000000;64919.0000000;64904.0000000;64918.0000000;832
20221215;131300;64917.0000000;64917.0000000;64905.0000000;64905.0000000;1596
20221215;131400;64905.0000000;64910.0000000;64900.0000000;64901.0000000;1514
20221215;131500;64900.0000000;64913.0000000;64885.0000000;64911.0000000;1865
20221215;131600;64910.0000000;64936.0000000;64908.0000000;64931.0000000;1345
20221215;131700;64931.0000000;64950.0000000;64927.0000000;64941.0000000;2054
20221215;131800;64941.0000000;64952.0000000;64940.0000000;64952.0000000;1258
20221215;131900;64952.0000000;64956.0000000;64935.0000000;64941.0000000;626
20221215;132000;64936.0000000;64947.0000000;64935.0000000;64940.0000000;170
20221215;132100;64940.0000000;64950.0000000;64938.0000000;64950.0000000;826
20221215;132200;64949.0000000;64950.0000000;64938.0000000;64938.0000000;224
20221215;132300;64939.0000000;64940.0000000;64935.0000000;64935.0000000;148
20221215;132400;64935.0000000;64936.0000000;64922.0000000;64934.0000000;2270
20221215;132500;64935.0000000;64938.0000000;64926.0000000;64928.0000000;217
20221215;132600;64928.0000000;64931.0000000;64923.0000000;64930.0000000;351
20221215;132700;64930.0000000;64940.0000000;64930.0000000;64936.0000000;1214
20221215;132800;64936.0000000;64967.0000000;64936.0000000;64962.0000000;2418
20221215;132900;64961.0000000;64993.0000000;64953.0000000;64991.0000000;4395
20221215;133000;64990.0000000;64991.0000000;64958.0000000;64964.0000000;1641
20221215;133100;64964.0000000;64969.0000000;64945.0000000;64950.0000000;1074
20221215;133200;64950.0000000;64958.0000000;64942.0000000;64942.0000000;440
20221215;133300;64945.0000000;64948.0000000;64919.0000000;64930.0000000;1379
20221215;133400;64929.0000000;64945.0000000;64929.0000000;64940.0000000;190
20221215;133500;64940.0000000;64941.0000000;64925.0000000;64935.0000000;1081
20221215;133600;64940.0000000;64942.0000000;64934.0000000;64937.0000000;148
20221215;133700;64936.0000000;64944.0000000;64930.0000000;64944.0000000;238
20221215;133800;64946.0000000;64963.0000000;64941.0000000;64952.0000000;590
20221215;133900;64952.0000000;64952.0000000;64943.0000000;64951.0000000;216
20221215;134000;64952.0000000;64991.0000000;64952.0000000;64986.0000000;2869
20221215;134100;64988.0000000;64990.0000000;64965.0000000;64965.0000000;1517
20221215;134200;64968.0000000;64977.0000000;64956.0000000;64966.0000000;1175
20221215;134300;64967.0000000;64988.0000000;64962.0000000;64980.0000000;2124
20221215;134400;64981.0000000;65041.0000000;64979.0000000;65032.0000000;3057
20221215;134500;65030.0000000;65070.0000000;65027.0000000;65053.0000000;2250
20221215;134600;65057.0000000;65071.0000000;65050.0000000;65068.0000000;1435
20221215;134700;65069.0000000;65082.0000000;65014.0000000;65036.0000000;2231
20221215;134800;65037.0000000;65044.0000000;65031.0000000;65035.0000000;628
20221215;134900;65034.0000000;65050.0000000;65034.0000000;65045.0000000;540
20221215;135000;65047.0000000;65071.0000000;65045.0000000;65071.0000000;1280
20221215;135100;65071.0000000;65094.0000000;65066.0000000;65093.0000000;2741
20221215;135200;65092.0000000;65099.0000000;65077.0000000;65080.0000000;847
20221215;135300;65080.0000000;65117.0000000;65076.0000000;65115.0000000;2132
20221215;135400;65114.0000000;65178.0000000;65114.0000000;65173.0000000;4864
20221215;135500;65177.0000000;65183.0000000;65150.0000000;65156.0000000;3479
20221215;135600;65157.0000000;65221.0000000;65157.0000000;65209.0000000;4090
20221215;135700;65211.0000000;65236.0000000;65207.0000000;65212.0000000;2253
20221215;135800;65212.0000000;65215.0000000;65178.0000000;65180.0000000;2477
20221215;135900;65179.0000000;65182.0000000;65167.0000000;65168.0000000;730
20221215;140500;65168.0000000;65226.0000000;65168.0000000;65214.0000000;7653
20221215;140600;65216.0000000;65288.0000000;65216.0000000;65279.0000000;3206
20221215;140700;65280.0000000;65289.0000000;65278.0000000;65278.0000000;1508
20221215;140800;65278.0000000;65291.0000000;65278.0000000;65282.0000000;1131
20221215;140900;65285.0000000;65286.0000000;65247.0000000;65260.0000000;1878
20221215;141000;65261.0000000;65279.0000000;65261.0000000;65270.0000000;795
20221215;141100;65269.0000000;65270.0000000;65266.0000000;65269.0000000;761
20221215;141200;65269.0000000;65281.0000000;65245.0000000;65247.0000000;1695
20221215;141300;65245.0000000;65260.0000000;65236.0000000;65259.0000000;1387
20221215;141400;65259.0000000;65265.0000000;65239.0000000;65239.0000000;1027
20221215;141500;65242.0000000;65265.0000000;65237.0000000;65265.0000000;858
20221215;141600;65265.0000000;65271.0000000;65264.0000000;65268.0000000;595
20221215;141700;65271.0000000;65280.0000000;65269.0000000;65278.0000000;829
20221215;141800;65281.0000000;65296.0000000;65279.0000000;65295.0000000;869
20221215;141900;65296.0000000;65336.0000000;65295.0000000;65316.0000000;3274
20221215;142000;65316.0000000;65328.0000000;65312.0000000;65317.0000000;764
20221215;142100;65317.0000000;65330.0000000;65316.0000000;65318.0000000;1358
20221215;142200;65319.0000000;65330.0000000;65313.0000000;65314.0000000;1153
20221215;142300;65315.0000000;65319.0000000;65295.0000000;65299.0000000;1503
20221215;142400;65300.0000000;65310.0000000;65273.0000000;65273.0000000;2432
20221215;142500;65276.0000000;65300.0000000;65267.0000000;65275.0000000;2099
20221215;142600;65279.0000000;65285.0000000;65247.0000000;65252.0000000;2288
20221215;142700;65253.0000000;65265.0000000;65216.0000000;65218.0000000;3909
20221215;142800;65217.0000000;65218.0000000;65175.0000000;65185.0000000;3664
20221215;142900;65184.0000000;65210.0000000;65184.0000000;65200.0000000;1732
20221215;143000;65204.0000000;65205.0000000;65144.0000000;65151.0000000;2794
20221215;143100;65150.0000000;65159.0000000;65137.0000000;65150.0000000;2635
20221215;143200;65150.0000000;65160.0000000;65136.0000000;65154.0000000;2570
20221215;143300;65152.0000000;65164.0000000;65135.0000000;65150.0000000;1918
20221215;143400;65149.0000000;65168.0000000;65140.0000000;65150.0000000;3928
